field	value	hex_color
division	Kuala Lumpur	#D5E96F
division	Selangor	#D8EA7B
division	Ad-Dawhah	#DAEA87
division	Riyadh	#DDEB93
division	Gyeonggi	#E0ED9F
division	North Jeolla	#E3EEAA
division	Bangkok	#E6EFB5
division	Hospital for Tropical Diseases	#E9F1C0
division	Adana	#EDF3CB
division	Izmir	#F0F5D6
division	Auvergne-Rhone-Alpes	#017829
division	PACA	#03892F
division	Baden-Wurttemberg	#059936
division	Bayern	#07AA3D
division	Hessen	#0ABA44
division	Nordhein-Westfalen	#0DC94B
division	Rheinland-Pfalz	#11D953
division	Friuli-Venezia Giulia	#15E75A
division	Veneto	#26E966
division	Birobidzhan	#3AE873
division	Moscow	#4DE87F
division	Orenburg	#5FE88C
division	Penza	#71E998
division	Veliky Novgorod	#83EAA5
division	Vladivostok	#94EBB1
division	Yaroslavl	#A5EDBD
division	England	#B6EFC9
division	Northern Ireland	#C6F2D4
division	Suffolk	#D6F5E0
division	Toronto	#000066
division	Yigo	#010171
division	Campeche	#010176
division	Coahuila	#02027B
division	Colima	#020280
division	Mexico City	#030385
division	Nuevo Leon	#03038B
division	Quintana Roo	#040490
division	Tabasco	#040495
division	Yucatan	#05059A
division	San Juan	#06069F
division	Alabama	#0606A4
division	Alaska	#0707A9
division	Arizona	#0808AD
division	Arkansas	#0909B2
division	California	#0A0AB7
division	Colorado	#0A0ABC
division	Connecticut	#0B0BC1
division	Delaware	#0C0CC5
division	District of Columbia	#0D0DCA
division	Florida	#0E0ECF
division	Georgia	#1010D3
division	Hawaii	#1111D8
division	Idaho	#1212DC
division	Illinois	#1313E1
division	Indiana	#1414E5
division	Iowa	#1515EA
division	Kentucky	#1B1BE9
division	Louisiana	#2121E9
division	MN	#2727E9
division	Maine	#2D2DE9
division	Maryland	#3333E8
division	Massachusetts	#3939E8
division	Michigan	#3E3EE8
division	Minnesota	#4444E8
division	Mississippi	#4A4AE8
division	Missouri	#5050E8
division	NC	#5555E8
division	Nebraska	#5B5BE8
division	Nevada	#6060E8
division	New Hampshire	#6666E9
division	New Jersey	#6B6BE9
division	New Mexico	#7171E9
division	New York	#7676E9
division	North Carolina	#7B7BEA
division	North Dakota	#8181EA
division	North_Carolina	#8686EA
division	Ohio	#8B8BEB
division	Oklahoma	#9191EB
division	Oregon	#9696EC
division	Pennsylvania	#9B9BEC
division	Rhode Island	#A0A0ED
division	South Carolina	#A5A5ED
division	South Dakota	#AAAAEE
division	Tennessee	#AFAFEF
division	Texas	#B4B4EF
division	Utah	#B9B9F0
division	Vermont	#BEBEF1
division	Virginia	#C3C3F1
division	WA	#C8C8F2
division	Washington	#CDCDF3
division	West Virginia	#D1D1F4
division	Wisconsin	#D6D6F5
division	Brisbane	#550066
division	New South Wales	#9909B6
division	Sydney	#CA30E8
division	Victoria	#DA87EA
division	Amazonas	#C50C49
division	Rio de Janeiro	#E85484
division	Sao Paulo	#F0B8CA

location		#87032F
location	Hulunbuir	#839C05
location	Ningbo	#AFCF0E
location	Alkarkh	#CAE830
location	Al-Hai	#D4E96B
location	Numaniyah	#E1EDA3
location	Bangkok	#F0F5D6
location	Var, Toulon	#98ECB3
location	Monterrey	#05059C
location	Maricopa County, Tempe	#0E0ECF
location	Los Angeles County	#3030E8
location	San Diego	#6B6BE9
location	King County	#A3A3ED
location	Snohomish County	#D6D6F5
location	Queensland	#710387
location	Sydney	#CA30E8
location	Manaus	#E8306D
location	Rio de Janeiro	#F0B8CA

clade_truncated	A	#C50C0C
clade_truncated	B	#C5690C
clade_truncated	C	#C5C50C
clade_truncated	C.1	#69C50C
clade_truncated	D	#0CC50C
clade_truncated	D.1	#0CC569
clade_truncated	D.2	#0CC5C5
clade_truncated	D.3	#0C69C5
clade_truncated	D.4	#0C0CC5
clade_truncated	D.5	#690CC5

clade	A	#C50C0C
clade	B	#C5690C
clade	C	#C5C50C
clade	C.1	#336600
clade	C.1.1	#438402
clade	C.1.2	#54A106
clade	C.1.4	#64BD0B
clade	C.1.5	#75D711
clade	C.1.7.2	#86E91F
clade	C.1.8	#96E841
clade	C.1.9	#A6E861
clade	C.1.9.1	#B6EA80
clade	C.1.9.2	#C6EC9E
clade	C.1.9.3	#D6F0BA
clade	C.1.9.4	#E6F5D6
clade	D	#0CC50C
clade	D.1	#0CC569
clade	D.2	#0CC5C5
clade	D.3	#034587
clade	D.3.1	#308EE8
clade	D.3.1.1	#B8D4F0
clade	D.4	#0C0CC5
clade	D.5	#690CC5

source	ITpS	#69C50C
source	NCBI	#0C88C5

data_use	OPEN	#0C88C5
data_use	RESTRICTED	#C50C0C

